season,round,driver,driver_points_after_race,driver_wins_after_race,driver_standings_pos_after_race,driver_points,driver_wins,driver_standings_pos
2000,1,michael_schumacher,10.0,1,1,0.0,0.0,0.0
2000,1,barrichello,6.0,0,2,0.0,0.0,0.0
2000,1,ralf_schumacher,4.0,0,3,0.0,0.0,0.0
2000,1,villeneuve,3.0,0,4,0.0,0.0,0.0
2000,1,fisichella,2.0,0,5,0.0,0.0,0.0
2000,1,zonta,1.0,0,6,0.0,0.0,0.0
2000,1,wurz,0.0,0,7,0.0,0.0,0.0
2000,1,gene,0.0,0,8,0.0,0.0,0.0
2000,1,heidfeld,0.0,0,9,0.0,0.0,0.0
2000,2,michael_schumacher,20.0,2,1,10.0,1.0,1.0
2000,2,fisichella,8.0,0,2,2.0,0.0,5.0
2000,2,barrichello,6.0,0,3,6.0,0.0,2.0
2000,2,ralf_schumacher,6.0,0,4,4.0,0.0,3.0
2000,2,frentzen,4.0,0,5,0.0,0.0,0.0
2000,2,trulli,3.0,0,6,0.0,0.0,0.0
2000,2,villeneuve,3.0,0,7,3.0,0.0,4.0
2000,2,zonta,1.0,0,8,1.0,0.0,6.0
2000,2,button,1.0,0,9,0.0,0.0,0.0
2000,2,verstappen,0.0,0,10,0.0,0.0,0.0
2000,2,wurz,0.0,0,11,0.0,0.0,7.0
2000,2,rosa,0.0,0,12,0.0,0.0,0.0
2000,2,gene,0.0,0,13,0.0,0.0,8.0
2000,2,heidfeld,0.0,0,14,0.0,0.0,9.0
2000,2,mazzacane,0.0,0,15,0.0,0.0,0.0
2000,3,michael_schumacher,30.0,3,1,20.0,2.0,1.0
2000,3,barrichello,9.0,0,2,6.0,0.0,3.0
2000,3,fisichella,8.0,0,3,8.0,0.0,2.0
2000,3,hakkinen,6.0,0,4,0.0,0.0,0.0
2000,3,ralf_schumacher,6.0,0,5,6.0,0.0,4.0
2000,3,villeneuve,5.0,0,6,3.0,0.0,7.0
2000,3,coulthard,4.0,0,7,0.0,0.0,0.0
2000,3,frentzen,4.0,0,8,4.0,0.0,5.0
2000,3,trulli,3.0,0,9,3.0,0.0,6.0
2000,3,zonta,1.0,0,10,1.0,0.0,8.0
2000,3,button,1.0,0,11,1.0,0.0,9.0
2000,3,salo,1.0,0,12,0.0,0.0,0.0
2000,3,wurz,0.0,0,13,0.0,0.0,11.0
2000,3,verstappen,0.0,0,14,0.0,0.0,10.0
2000,3,irvine,0.0,0,15,0.0,0.0,0.0
2000,3,rosa,0.0,0,16,0.0,0.0,12.0
2000,3,diniz,0.0,0,17,0.0,0.0,0.0
2000,3,gene,0.0,0,18,0.0,0.0,13.0
2000,3,heidfeld,0.0,0,19,0.0,0.0,14.0
2000,3,mazzacane,0.0,0,20,0.0,0.0,15.0
2000,3,herbert,0.0,0,21,0.0,0.0,0.0
2000,4,michael_schumacher,34.0,3,1,30.0,3.0,1.0
2000,4,coulthard,14.0,1,2,4.0,0.0,7.0
2000,4,hakkinen,12.0,0,3,6.0,0.0,4.0
2000,4,barrichello,9.0,0,4,9.0,0.0,2.0
2000,4,ralf_schumacher,9.0,0,5,6.0,0.0,5.0
2000,4,fisichella,8.0,0,6,8.0,0.0,3.0
2000,4,villeneuve,5.0,0,7,5.0,0.0,6.0
2000,4,frentzen,4.0,0,8,4.0,0.0,8.0
2000,4,trulli,4.0,0,9,3.0,0.0,9.0
2000,4,button,3.0,0,10,1.0,0.0,11.0
2000,4,salo,1.0,0,11,1.0,0.0,12.0
2000,4,zonta,1.0,0,12,1.0,0.0,10.0
2000,4,wurz,0.0,0,13,0.0,0.0,13.0
2000,4,irvine,0.0,0,14,0.0,0.0,15.0
2000,4,verstappen,0.0,0,15,0.0,0.0,14.0
2000,4,diniz,0.0,0,16,0.0,0.0,17.0
2000,4,gene,0.0,0,17,0.0,0.0,18.0
2000,4,rosa,0.0,0,18,0.0,0.0,16.0
2000,4,heidfeld,0.0,0,19,0.0,0.0,19.0
2000,4,herbert,0.0,0,20,0.0,0.0,21.0
2000,4,mazzacane,0.0,0,21,0.0,0.0,20.0
2000,4,alesi,0.0,0,22,0.0,0.0,0.0
2000,5,michael_schumacher,36.0,3,1,34.0,3.0,1.0
2000,5,hakkinen,22.0,1,2,12.0,0.0,3.0
2000,5,coulthard,20.0,1,3,14.0,1.0,2.0
2000,5,barrichello,13.0,0,4,9.0,0.0,4.0
2000,5,ralf_schumacher,12.0,0,5,9.0,0.0,5.0
2000,5,fisichella,8.0,0,6,8.0,0.0,6.0
2000,5,frentzen,5.0,0,7,4.0,0.0,8.0
2000,5,villeneuve,5.0,0,8,5.0,0.0,7.0
2000,5,trulli,4.0,0,9,4.0,0.0,9.0
2000,5,button,3.0,0,10,3.0,0.0,10.0
2000,5,salo,1.0,0,11,1.0,0.0,11.0
2000,5,zonta,1.0,0,12,1.0,0.0,12.0
2000,5,wurz,0.0,0,13,0.0,0.0,13.0
2000,5,irvine,0.0,0,14,0.0,0.0,14.0
2000,5,verstappen,0.0,0,15,0.0,0.0,15.0
2000,5,diniz,0.0,0,16,0.0,0.0,16.0
2000,5,gene,0.0,0,17,0.0,0.0,17.0
2000,5,rosa,0.0,0,18,0.0,0.0,18.0
2000,5,heidfeld,0.0,0,19,0.0,0.0,19.0
2000,5,herbert,0.0,0,20,0.0,0.0,20.0
2000,5,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,5,alesi,0.0,0,22,0.0,0.0,22.0
2000,6,michael_schumacher,46.0,4,1,36.0,3.0,1.0
2000,6,hakkinen,28.0,1,2,22.0,1.0,2.0
2000,6,coulthard,24.0,1,3,20.0,1.0,3.0
2000,6,barrichello,16.0,0,4,13.0,0.0,4.0
2000,6,ralf_schumacher,12.0,0,5,12.0,0.0,5.0
2000,6,fisichella,10.0,0,6,8.0,0.0,6.0
2000,6,frentzen,5.0,0,7,5.0,0.0,7.0
2000,6,villeneuve,5.0,0,8,5.0,0.0,8.0
2000,6,trulli,4.0,0,9,4.0,0.0,9.0
2000,6,button,3.0,0,10,3.0,0.0,10.0
2000,6,salo,1.0,0,11,1.0,0.0,11.0
2000,6,zonta,1.0,0,12,1.0,0.0,12.0
2000,6,rosa,1.0,0,13,0.0,0.0,18.0
2000,6,diniz,0.0,0,14,0.0,0.0,16.0
2000,6,wurz,0.0,0,15,0.0,0.0,13.0
2000,6,irvine,0.0,0,16,0.0,0.0,14.0
2000,6,verstappen,0.0,0,17,0.0,0.0,15.0
2000,6,mazzacane,0.0,0,18,0.0,0.0,21.0
2000,6,gene,0.0,0,19,0.0,0.0,17.0
2000,6,alesi,0.0,0,20,0.0,0.0,22.0
2000,6,heidfeld,0.0,0,21,0.0,0.0,19.0
2000,6,herbert,0.0,0,22,0.0,0.0,20.0
2000,7,michael_schumacher,46.0,4,1,46.0,4.0,1.0
2000,7,coulthard,34.0,2,2,24.0,1.0,3.0
2000,7,hakkinen,29.0,1,3,28.0,1.0,2.0
2000,7,barrichello,22.0,0,4,16.0,0.0,4.0
2000,7,fisichella,14.0,0,5,10.0,0.0,6.0
2000,7,ralf_schumacher,12.0,0,6,12.0,0.0,5.0
2000,7,frentzen,5.0,0,7,5.0,0.0,7.0
2000,7,villeneuve,5.0,0,8,5.0,0.0,8.0
2000,7,trulli,4.0,0,9,4.0,0.0,9.0
2000,7,irvine,3.0,0,10,0.0,0.0,16.0
2000,7,salo,3.0,0,11,1.0,0.0,11.0
2000,7,button,3.0,0,12,3.0,0.0,10.0
2000,7,zonta,1.0,0,13,1.0,0.0,12.0
2000,7,rosa,1.0,0,14,1.0,0.0,13.0
2000,7,diniz,0.0,0,15,0.0,0.0,14.0
2000,7,wurz,0.0,0,16,0.0,0.0,15.0
2000,7,verstappen,0.0,0,17,0.0,0.0,17.0
2000,7,heidfeld,0.0,0,18,0.0,0.0,21.0
2000,7,mazzacane,0.0,0,19,0.0,0.0,18.0
2000,7,gene,0.0,0,20,0.0,0.0,19.0
2000,7,herbert,0.0,0,21,0.0,0.0,22.0
2000,7,alesi,0.0,0,22,0.0,0.0,20.0
2000,8,michael_schumacher,56.0,5,1,46.0,4.0,1.0
2000,8,coulthard,34.0,2,2,34.0,2.0,2.0
2000,8,hakkinen,32.0,1,3,29.0,1.0,3.0
2000,8,barrichello,28.0,0,4,22.0,0.0,4.0
2000,8,fisichella,18.0,0,5,14.0,0.0,5.0
2000,8,ralf_schumacher,12.0,0,6,12.0,0.0,6.0
2000,8,frentzen,5.0,0,7,5.0,0.0,7.0
2000,8,villeneuve,5.0,0,8,5.0,0.0,8.0
2000,8,trulli,5.0,0,9,4.0,0.0,9.0
2000,8,irvine,3.0,0,10,3.0,0.0,10.0
2000,8,salo,3.0,0,11,3.0,0.0,11.0
2000,8,button,3.0,0,12,3.0,0.0,12.0
2000,8,verstappen,2.0,0,13,0.0,0.0,17.0
2000,8,zonta,1.0,0,14,1.0,0.0,13.0
2000,8,rosa,1.0,0,15,1.0,0.0,14.0
2000,8,diniz,0.0,0,16,0.0,0.0,15.0
2000,8,wurz,0.0,0,17,0.0,0.0,16.0
2000,8,heidfeld,0.0,0,18,0.0,0.0,18.0
2000,8,mazzacane,0.0,0,19,0.0,0.0,19.0
2000,8,gene,0.0,0,20,0.0,0.0,20.0
2000,8,herbert,0.0,0,21,0.0,0.0,21.0
2000,8,alesi,0.0,0,22,0.0,0.0,22.0
2000,9,michael_schumacher,56.0,5,1,56.0,5.0,1.0
2000,9,coulthard,44.0,3,2,34.0,2.0,2.0
2000,9,hakkinen,38.0,1,3,32.0,1.0,3.0
2000,9,barrichello,32.0,0,4,28.0,0.0,4.0
2000,9,fisichella,18.0,0,5,18.0,0.0,5.0
2000,9,ralf_schumacher,14.0,0,6,12.0,0.0,6.0
2000,9,villeneuve,8.0,0,7,5.0,0.0,8.0
2000,9,trulli,6.0,0,8,5.0,0.0,9.0
2000,9,frentzen,5.0,0,9,5.0,0.0,7.0
2000,9,irvine,3.0,0,10,3.0,0.0,10.0
2000,9,salo,3.0,0,11,3.0,0.0,11.0
2000,9,button,3.0,0,12,3.0,0.0,12.0
2000,9,verstappen,2.0,0,13,2.0,0.0,13.0
2000,9,zonta,1.0,0,14,1.0,0.0,14.0
2000,9,rosa,1.0,0,15,1.0,0.0,15.0
2000,9,diniz,0.0,0,16,0.0,0.0,16.0
2000,9,wurz,0.0,0,17,0.0,0.0,17.0
2000,9,heidfeld,0.0,0,18,0.0,0.0,18.0
2000,9,mazzacane,0.0,0,19,0.0,0.0,19.0
2000,9,gene,0.0,0,20,0.0,0.0,20.0
2000,9,herbert,0.0,0,21,0.0,0.0,21.0
2000,9,alesi,0.0,0,22,0.0,0.0,22.0
2000,10,michael_schumacher,56.0,5,1,56.0,5.0,1.0
2000,10,coulthard,50.0,3,2,44.0,3.0,2.0
2000,10,hakkinen,48.0,2,3,38.0,1.0,3.0
2000,10,barrichello,36.0,0,4,32.0,0.0,4.0
2000,10,fisichella,18.0,0,5,18.0,0.0,5.0
2000,10,ralf_schumacher,14.0,0,6,14.0,0.0,6.0
2000,10,villeneuve,11.0,0,7,8.0,0.0,7.0
2000,10,trulli,6.0,0,8,6.0,0.0,8.0
2000,10,frentzen,5.0,0,9,5.0,0.0,9.0
2000,10,button,5.0,0,10,3.0,0.0,12.0
2000,10,salo,4.0,0,11,3.0,0.0,11.0
2000,10,irvine,3.0,0,12,3.0,0.0,10.0
2000,10,verstappen,2.0,0,13,2.0,0.0,13.0
2000,10,zonta,1.0,0,14,1.0,0.0,14.0
2000,10,rosa,1.0,0,15,1.0,0.0,15.0
2000,10,diniz,0.0,0,16,0.0,0.0,16.0
2000,10,wurz,0.0,0,17,0.0,0.0,17.0
2000,10,herbert,0.0,0,18,0.0,0.0,21.0
2000,10,gene,0.0,0,19,0.0,0.0,20.0
2000,10,heidfeld,0.0,0,20,0.0,0.0,18.0
2000,10,mazzacane,0.0,0,21,0.0,0.0,19.0
2000,10,alesi,0.0,0,22,0.0,0.0,22.0
2000,10,burti,0.0,0,23,0.0,0.0,0.0
2000,11,michael_schumacher,56.0,5,1,56.0,5.0,1.0
2000,11,coulthard,54.0,3,2,50.0,3.0,2.0
2000,11,hakkinen,54.0,2,3,48.0,2.0,3.0
2000,11,barrichello,46.0,1,4,36.0,0.0,4.0
2000,11,fisichella,18.0,0,5,18.0,0.0,5.0
2000,11,ralf_schumacher,14.0,0,6,14.0,0.0,6.0
2000,11,villeneuve,11.0,0,7,11.0,0.0,7.0
2000,11,button,8.0,0,8,5.0,0.0,10.0
2000,11,trulli,6.0,0,9,6.0,0.0,8.0
2000,11,salo,6.0,0,10,4.0,0.0,11.0
2000,11,frentzen,5.0,0,11,5.0,0.0,9.0
2000,11,irvine,3.0,0,12,3.0,0.0,12.0
2000,11,verstappen,2.0,0,13,2.0,0.0,13.0
2000,11,rosa,2.0,0,14,1.0,0.0,15.0
2000,11,zonta,1.0,0,15,1.0,0.0,14.0
2000,11,diniz,0.0,0,16,0.0,0.0,16.0
2000,11,wurz,0.0,0,17,0.0,0.0,17.0
2000,11,herbert,0.0,0,18,0.0,0.0,18.0
2000,11,gene,0.0,0,19,0.0,0.0,19.0
2000,11,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,11,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,11,alesi,0.0,0,22,0.0,0.0,22.0
2000,11,burti,0.0,0,23,0.0,0.0,23.0
2000,12,hakkinen,64.0,3,1,54.0,2.0,3.0
2000,12,michael_schumacher,62.0,5,2,56.0,5.0,1.0
2000,12,coulthard,58.0,3,3,54.0,3.0,2.0
2000,12,barrichello,49.0,1,4,46.0,1.0,4.0
2000,12,fisichella,18.0,0,5,18.0,0.0,5.0
2000,12,ralf_schumacher,16.0,0,6,14.0,0.0,6.0
2000,12,villeneuve,11.0,0,7,11.0,0.0,7.0
2000,12,button,8.0,0,8,8.0,0.0,8.0
2000,12,frentzen,6.0,0,9,5.0,0.0,11.0
2000,12,trulli,6.0,0,10,6.0,0.0,9.0
2000,12,salo,6.0,0,11,6.0,0.0,10.0
2000,12,irvine,3.0,0,12,3.0,0.0,12.0
2000,12,verstappen,2.0,0,13,2.0,0.0,13.0
2000,12,rosa,2.0,0,14,2.0,0.0,14.0
2000,12,zonta,1.0,0,15,1.0,0.0,15.0
2000,12,diniz,0.0,0,16,0.0,0.0,16.0
2000,12,wurz,0.0,0,17,0.0,0.0,17.0
2000,12,herbert,0.0,0,18,0.0,0.0,18.0
2000,12,gene,0.0,0,19,0.0,0.0,19.0
2000,12,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,12,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,12,alesi,0.0,0,22,0.0,0.0,22.0
2000,12,burti,0.0,0,23,0.0,0.0,23.0
2000,13,hakkinen,74.0,4,1,64.0,3.0,1.0
2000,13,michael_schumacher,68.0,5,2,62.0,5.0,2.0
2000,13,coulthard,61.0,3,3,58.0,3.0,3.0
2000,13,barrichello,49.0,1,4,49.0,1.0,4.0
2000,13,ralf_schumacher,20.0,0,5,16.0,0.0,6.0
2000,13,fisichella,18.0,0,6,18.0,0.0,5.0
2000,13,villeneuve,11.0,0,7,11.0,0.0,7.0
2000,13,button,10.0,0,8,8.0,0.0,8.0
2000,13,frentzen,7.0,0,9,6.0,0.0,9.0
2000,13,trulli,6.0,0,10,6.0,0.0,10.0
2000,13,salo,6.0,0,11,6.0,0.0,11.0
2000,13,irvine,3.0,0,12,3.0,0.0,12.0
2000,13,verstappen,2.0,0,13,2.0,0.0,13.0
2000,13,rosa,2.0,0,14,2.0,0.0,14.0
2000,13,zonta,1.0,0,15,1.0,0.0,15.0
2000,13,diniz,0.0,0,16,0.0,0.0,16.0
2000,13,herbert,0.0,0,17,0.0,0.0,18.0
2000,13,wurz,0.0,0,18,0.0,0.0,17.0
2000,13,gene,0.0,0,19,0.0,0.0,19.0
2000,13,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,13,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,13,alesi,0.0,0,22,0.0,0.0,22.0
2000,13,burti,0.0,0,23,0.0,0.0,23.0
2000,14,hakkinen,80.0,4,1,74.0,4.0,1.0
2000,14,michael_schumacher,78.0,6,2,68.0,5.0,2.0
2000,14,coulthard,61.0,3,3,61.0,3.0,3.0
2000,14,barrichello,49.0,1,4,49.0,1.0,4.0
2000,14,ralf_schumacher,24.0,0,5,20.0,0.0,5.0
2000,14,fisichella,18.0,0,6,18.0,0.0,6.0
2000,14,villeneuve,11.0,0,7,11.0,0.0,7.0
2000,14,button,10.0,0,8,10.0,0.0,8.0
2000,14,frentzen,7.0,0,9,7.0,0.0,9.0
2000,14,trulli,6.0,0,10,6.0,0.0,10.0
2000,14,salo,6.0,0,11,6.0,0.0,11.0
2000,14,verstappen,5.0,0,12,2.0,0.0,13.0
2000,14,irvine,3.0,0,13,3.0,0.0,12.0
2000,14,wurz,2.0,0,14,0.0,0.0,18.0
2000,14,zonta,2.0,0,15,1.0,0.0,15.0
2000,14,rosa,2.0,0,16,2.0,0.0,14.0
2000,14,diniz,0.0,0,17,0.0,0.0,16.0
2000,14,herbert,0.0,0,18,0.0,0.0,17.0
2000,14,gene,0.0,0,19,0.0,0.0,19.0
2000,14,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,14,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,14,alesi,0.0,0,22,0.0,0.0,22.0
2000,14,burti,0.0,0,23,0.0,0.0,23.0
2000,15,michael_schumacher,88.0,7,1,78.0,6.0,2.0
2000,15,hakkinen,80.0,4,2,80.0,4.0,1.0
2000,15,coulthard,63.0,3,3,61.0,3.0,3.0
2000,15,barrichello,55.0,1,4,49.0,1.0,4.0
2000,15,ralf_schumacher,24.0,0,5,24.0,0.0,5.0
2000,15,fisichella,18.0,0,6,18.0,0.0,6.0
2000,15,villeneuve,14.0,0,7,11.0,0.0,7.0
2000,15,frentzen,11.0,0,8,7.0,0.0,9.0
2000,15,button,10.0,0,9,10.0,0.0,8.0
2000,15,trulli,6.0,0,10,6.0,0.0,10.0
2000,15,salo,6.0,0,11,6.0,0.0,11.0
2000,15,verstappen,5.0,0,12,5.0,0.0,12.0
2000,15,irvine,3.0,0,13,3.0,0.0,13.0
2000,15,zonta,3.0,0,14,2.0,0.0,15.0
2000,15,wurz,2.0,0,15,2.0,0.0,14.0
2000,15,rosa,2.0,0,16,2.0,0.0,16.0
2000,15,diniz,0.0,0,17,0.0,0.0,17.0
2000,15,herbert,0.0,0,18,0.0,0.0,18.0
2000,15,gene,0.0,0,19,0.0,0.0,19.0
2000,15,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,15,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,15,alesi,0.0,0,22,0.0,0.0,22.0
2000,15,burti,0.0,0,23,0.0,0.0,23.0
2000,16,michael_schumacher,98.0,8,1,88.0,7.0,1.0
2000,16,hakkinen,86.0,4,2,80.0,4.0,2.0
2000,16,coulthard,67.0,3,3,63.0,3.0,3.0
2000,16,barrichello,58.0,1,4,55.0,1.0,4.0
2000,16,ralf_schumacher,24.0,0,5,24.0,0.0,5.0
2000,16,fisichella,18.0,0,6,18.0,0.0,6.0
2000,16,villeneuve,15.0,0,7,14.0,0.0,7.0
2000,16,button,12.0,0,8,10.0,0.0,9.0
2000,16,frentzen,11.0,0,9,11.0,0.0,8.0
2000,16,trulli,6.0,0,10,6.0,0.0,10.0
2000,16,salo,6.0,0,11,6.0,0.0,11.0
2000,16,verstappen,5.0,0,12,5.0,0.0,12.0
2000,16,irvine,3.0,0,13,3.0,0.0,13.0
2000,16,zonta,3.0,0,14,3.0,0.0,14.0
2000,16,wurz,2.0,0,15,2.0,0.0,15.0
2000,16,rosa,2.0,0,16,2.0,0.0,16.0
2000,16,herbert,0.0,0,17,0.0,0.0,18.0
2000,16,diniz,0.0,0,18,0.0,0.0,17.0
2000,16,gene,0.0,0,19,0.0,0.0,19.0
2000,16,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,16,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,16,alesi,0.0,0,22,0.0,0.0,22.0
2000,16,burti,0.0,0,23,0.0,0.0,23.0
2000,17,michael_schumacher,108.0,9,1,98.0,8.0,1.0
2000,17,hakkinen,89.0,4,2,86.0,4.0,2.0
2000,17,coulthard,73.0,3,3,67.0,3.0,3.0
2000,17,barrichello,62.0,1,4,58.0,1.0,4.0
2000,17,ralf_schumacher,24.0,0,5,24.0,0.0,5.0
2000,17,fisichella,18.0,0,6,18.0,0.0,6.0
2000,17,villeneuve,17.0,0,7,15.0,0.0,7.0
2000,17,button,12.0,0,8,12.0,0.0,8.0
2000,17,frentzen,11.0,0,9,11.0,0.0,9.0
2000,17,trulli,6.0,0,10,6.0,0.0,10.0
2000,17,salo,6.0,0,11,6.0,0.0,11.0
2000,17,verstappen,5.0,0,12,5.0,0.0,12.0
2000,17,irvine,4.0,0,13,3.0,0.0,13.0
2000,17,zonta,3.0,0,14,3.0,0.0,14.0
2000,17,wurz,2.0,0,15,2.0,0.0,15.0
2000,17,rosa,2.0,0,16,2.0,0.0,16.0
2000,17,herbert,0.0,0,17,0.0,0.0,17.0
2000,17,diniz,0.0,0,18,0.0,0.0,18.0
2000,17,gene,0.0,0,19,0.0,0.0,19.0
2000,17,heidfeld,0.0,0,20,0.0,0.0,20.0
2000,17,mazzacane,0.0,0,21,0.0,0.0,21.0
2000,17,alesi,0.0,0,22,0.0,0.0,22.0
2000,17,burti,0.0,0,23,0.0,0.0,23.0
2001,1,michael_schumacher,10.0,1,1,0.0,0.0,0.0
2001,1,coulthard,6.0,0,2,0.0,0.0,0.0
2001,1,barrichello,4.0,0,3,0.0,0.0,0.0
2001,1,heidfeld,3.0,0,4,0.0,0.0,0.0
2001,1,frentzen,2.0,0,5,0.0,0.0,0.0
2001,1,raikkonen,1.0,0,6,0.0,0.0,0.0
2001,1,panis,0.0,0,7,0.0,0.0,0.0
2001,1,burti,0.0,0,8,0.0,0.0,0.0
2001,1,alesi,0.0,0,9,0.0,0.0,0.0
2001,1,verstappen,0.0,0,10,0.0,0.0,0.0
2001,1,irvine,0.0,0,11,0.0,0.0,0.0
2001,1,alonso,0.0,0,12,0.0,0.0,0.0
2001,1,fisichella,0.0,0,13,0.0,0.0,0.0
2001,2,michael_schumacher,20.0,2,1,10.0,1.0,1.0
2001,2,barrichello,10.0,0,2,4.0,0.0,3.0
2001,2,coulthard,10.0,0,3,6.0,0.0,2.0
2001,2,frentzen,5.0,0,4,2.0,0.0,5.0
2001,2,heidfeld,3.0,0,5,3.0,0.0,4.0
2001,2,ralf_schumacher,2.0,0,6,0.0,0.0,0.0
2001,2,hakkinen,1.0,0,7,0.0,0.0,0.0
2001,2,raikkonen,1.0,0,8,1.0,0.0,6.0
2001,2,verstappen,0.0,0,9,0.0,0.0,10.0
2001,2,panis,0.0,0,10,0.0,0.0,7.0
2001,2,burti,0.0,0,11,0.0,0.0,8.0
2001,2,trulli,0.0,0,12,0.0,0.0,0.0
2001,2,alesi,0.0,0,13,0.0,0.0,9.0
2001,2,button,0.0,0,14,0.0,0.0,0.0
2001,2,irvine,0.0,0,15,0.0,0.0,11.0
2001,2,alonso,0.0,0,16,0.0,0.0,12.0
2001,2,mazzacane,0.0,0,17,0.0,0.0,0.0
2001,2,fisichella,0.0,0,18,0.0,0.0,13.0
2001,2,marques,0.0,0,19,0.0,0.0,0.0
2001,3,michael_schumacher,26.0,2,1,20.0,2.0,1.0
2001,3,coulthard,20.0,1,2,10.0,0.0,3.0
2001,3,barrichello,10.0,0,3,10.0,0.0,2.0
2001,3,heidfeld,7.0,0,4,3.0,0.0,5.0
2001,3,frentzen,5.0,0,5,5.0,0.0,4.0
2001,3,panis,3.0,0,6,0.0,0.0,10.0
2001,3,trulli,2.0,0,7,0.0,0.0,12.0
2001,3,ralf_schumacher,2.0,0,8,2.0,0.0,6.0
2001,3,fisichella,1.0,0,9,0.0,0.0,18.0
2001,3,hakkinen,1.0,0,10,1.0,0.0,7.0
2001,3,raikkonen,1.0,0,11,1.0,0.0,8.0
2001,3,verstappen,0.0,0,12,0.0,0.0,9.0
2001,3,villeneuve,0.0,0,13,0.0,0.0,0.0
2001,3,alesi,0.0,0,14,0.0,0.0,13.0
2001,3,burti,0.0,0,15,0.0,0.0,11.0
2001,3,marques,0.0,0,16,0.0,0.0,19.0
2001,3,button,0.0,0,17,0.0,0.0,14.0
2001,3,irvine,0.0,0,18,0.0,0.0,15.0
2001,3,alonso,0.0,0,19,0.0,0.0,16.0
2001,3,mazzacane,0.0,0,20,0.0,0.0,17.0
2001,4,michael_schumacher,26.0,2,1,26.0,2.0,1.0
2001,4,coulthard,26.0,1,2,20.0,1.0,2.0
2001,4,barrichello,14.0,0,3,10.0,0.0,3.0
2001,4,ralf_schumacher,12.0,1,4,2.0,0.0,8.0
2001,4,heidfeld,7.0,0,5,7.0,0.0,4.0
2001,4,frentzen,6.0,0,6,5.0,0.0,5.0
2001,4,hakkinen,4.0,0,7,1.0,0.0,10.0
2001,4,trulli,4.0,0,8,2.0,0.0,7.0
2001,4,panis,3.0,0,9,3.0,0.0,6.0
2001,4,fisichella,1.0,0,10,1.0,0.0,9.0
2001,4,raikkonen,1.0,0,11,1.0,0.0,11.0
2001,4,verstappen,0.0,0,12,0.0,0.0,12.0
2001,4,villeneuve,0.0,0,13,0.0,0.0,13.0
2001,4,alesi,0.0,0,14,0.0,0.0,14.0
2001,4,burti,0.0,0,15,0.0,0.0,15.0
2001,4,marques,0.0,0,16,0.0,0.0,16.0
2001,4,button,0.0,0,17,0.0,0.0,17.0
2001,4,bernoldi,0.0,0,18,0.0,0.0,0.0
2001,4,irvine,0.0,0,19,0.0,0.0,18.0
2001,4,alonso,0.0,0,20,0.0,0.0,19.0
2001,4,mazzacane,0.0,0,21,0.0,0.0,20.0
2001,5,michael_schumacher,36.0,3,1,26.0,2.0,1.0
2001,5,coulthard,28.0,1,2,26.0,1.0,2.0
2001,5,barrichello,14.0,0,3,14.0,0.0,3.0
2001,5,ralf_schumacher,12.0,1,4,12.0,1.0,4.0
2001,5,heidfeld,8.0,0,5,7.0,0.0,5.0
2001,5,trulli,7.0,0,6,4.0,0.0,8.0
2001,5,montoya,6.0,0,7,0.0,0.0,0.0
2001,5,frentzen,6.0,0,8,6.0,0.0,6.0
2001,5,villeneuve,4.0,0,9,0.0,0.0,13.0
2001,5,hakkinen,4.0,0,10,4.0,0.0,7.0
2001,5,panis,3.0,0,11,3.0,0.0,9.0
2001,5,raikkonen,1.0,0,12,1.0,0.0,11.0
2001,5,fisichella,1.0,0,13,1.0,0.0,10.0
2001,5,verstappen,0.0,0,14,0.0,0.0,12.0
2001,5,alesi,0.0,0,15,0.0,0.0,14.0
2001,5,burti,0.0,0,16,0.0,0.0,15.0
2001,5,marques,0.0,0,17,0.0,0.0,16.0
2001,5,button,0.0,0,18,0.0,0.0,17.0
2001,5,bernoldi,0.0,0,19,0.0,0.0,18.0
2001,5,irvine,0.0,0,20,0.0,0.0,19.0
2001,5,alonso,0.0,0,21,0.0,0.0,20.0
2001,5,mazzacane,0.0,0,22,0.0,0.0,21.0
2001,6,michael_schumacher,42.0,3,1,36.0,3.0,1.0
2001,6,coulthard,38.0,2,2,28.0,1.0,2.0
2001,6,barrichello,18.0,0,3,14.0,0.0,3.0
2001,6,ralf_schumacher,12.0,1,4,12.0,1.0,4.0
2001,6,heidfeld,8.0,0,5,8.0,0.0,5.0
2001,6,trulli,7.0,0,6,7.0,0.0,6.0
2001,6,montoya,6.0,0,7,6.0,0.0,7.0
2001,6,frentzen,6.0,0,8,6.0,0.0,8.0
2001,6,panis,5.0,0,9,3.0,0.0,11.0
2001,6,villeneuve,4.0,0,10,4.0,0.0,9.0
2001,6,raikkonen,4.0,0,11,1.0,0.0,12.0
